scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,url,user_login,positional_accuracy,geoprivacy,captive_cultivated,genus,id,flowering
Corymbia aparrerinja,2016-05-03 10:12:55 +1000,"Ghost Gum (Corymbia aparrerinja) about 100 km west of Windorah on Diamantina Development Road, Queensland, Australia. Photographed on 3 May 2016.",", Queensland, Australia",-25.37587,141.9238,"Corymbia, Ghost Gum, Windorah, Queensland, Australia, taxonomy:kingdom=Plantae, taxonomy:phylum=Magnoliophyta, taxonomy:class=Magnoliopsida, taxonomy:order=Myrtales, taxonomy:family=Myrtaceae, taxonmy:genus=Corymbia, taxonomy:common=Ghost Gum, geocode:accuracy=100 meters, geocode:method=GPS, geo:country=Australia, geo:alt=158 meters, Corymbia aperrerinja, taxonomy:binomial=Corymbia aperrerinja, aperrerinja, Corymbia aparrerinja (Ghost Gum)",https://www.inaturalist.org/observations/46675193,arthur_chapman,NA,,FALSE,Corymbia,46675193,
Corymbia torelliana,2020-04-30 14:29:00 +1000,,"Nambucca Heads NSW 2448, Australia",-30.62979547,152.9934836,,https://www.inaturalist.org/observations/46699682,nicklambert,37,,FALSE,Corymbia,46699682,
Corymbia torelliana,2020-05-22 16:53:55 +1000,,"Queensland, AU",-27.65064645,153.0232057,,https://www.inaturalist.org/observations/46819833,freckles29,263,obscured,FALSE,Corymbia,46819833,
Corymbia citriodora subs,2020-05-22 10:53:00 +1000,Spotted gum,"Murphys Creek QLD 4352, Australia",-27.47150278,152.03505,,https://www.inaturalist.org/observations/46827527,martinbennett,NA,,FALSE,Corymbia,46827527,
Corymbia gummifera,2020-05-23 10:55:00 +1000,,"Lawsons Lookout Track, Springwood, NSW, Australia",-33.70527215,150.5650266,,https://www.inaturalist.org/observations/46913476,helen_y,5,,FALSE,Corymbia,46913476,
Corymbia citriodora,2020-05-24 13:53:19 +1000,,"Parkinson-Drewvale, Drewvale, QLD, AU",-27.645205,153.0454555,,https://www.inaturalist.org/observations/47071901,stumbling,5,,FALSE,Corymbia,47071901,
Corymbia intermedia,2020-05-24 09:15:36 +1000,,"Arakwal National Park, Byron Bay, NSW, AU",-28.661525,153.6219467,,https://www.inaturalist.org/observations/47088931,lianaj,5,,FALSE,Corymbia,47088931,
Corymbia tessellaris,2020-05-09 15:05:10 +1000,,"Flinders Highway, Reid River, QLD, AU",-19.70562167,146.8406633,,https://www.inaturalist.org/observations/47384619,elawrey,NA,,FALSE,Corymbia,47384619,
Corymbia henryi,2020-05-26 10:11:00 +1000,Large leaved spotted gum,"Spring Mountain QLD 4124, Australia",-27.71927775,152.8798833,,https://www.inaturalist.org/observations/47487414,martinbennett,NA,,FALSE,Corymbia,47487414,
Corymbia maculata,2015-03-20 14:50:00 +1100,,"Mogareeka NSW 2550, Australia",-36.68933875,149.9914159,Nelson Beach,https://www.inaturalist.org/observations/47593196,lorrainecphelan,347,,FALSE,Corymbia,47593196,
Corymbia setosa,1973-06-06 10:34:49 +1000,"Rough-leaved Bloodwood or Bastard Bloodwood (Corymbia setosa) from the Burra Range (now White Mountains National Park) west of Pentland, Queensland, Australia. Photographed on 6 Jun 1973.

Digitised from a slide. The original slide, which is of higher quality, is held.",", Queensland, Australia",-20.628,145.3158,"Corymbia, setosa, Corymbia setosa, Rough-leaved Bloodwood, Bastard Bloodwood, Burra Range, Pentland, Torrens Creek, White Mountains National Park, Queensland, Australia, taxonomy:kingdom=Plantae, taxonomy:phylum=Magnoliophyta, taxonomy:class=Magnoliopsida, taxonomy:order=Myrtales, taxonomy:family=Myrtaceae, taxonomy:genus=Corymbia, taxonomy:binomial=Corymbia setosa, taxonomy:common=Rough-leaved Bloodwood, taxonomy:common=Bastard Bloodwood, geocode:accuracy=100 meters, geocode:method=Google Earth, geo:country=Australia, Corymbia setosa (Rough-leaved Bloodwood; Bastard Bloodwood)",https://www.inaturalist.org/observations/47655550,arthur_chapman,100,,FALSE,Corymbia,47655550,
Corymbia calophylla,2020-05-23 15:11:41 +0800,,"John Forrest National Park, Hovea, WA, AU",-31.88190273,116.0711487,,https://www.inaturalist.org/observations/47716016,nicola_richards,269,,FALSE,Corymbia,47716016,
Corymbia torelliana,2020-05-30 11:15:18 +1000,,"Queensland, AU",-27.78217761,152.5784629,,https://www.inaturalist.org/observations/47805433,pcopping,NA,obscured,FALSE,Corymbia,47805433,
Corymbia tessellaris,2020-05-30 11:06:28 +1000,,"Queensland, AU",-27.75519897,152.5765874,,https://www.inaturalist.org/observations/47807108,pcopping,NA,obscured,FALSE,Corymbia,47807108,
Corymbia trachyphloia,2020-05-31 12:01:27 +1000,"Big gum tree, rough brown bark","Walligan, QLD, AU",-25.34297477,152.7746278,,https://www.inaturalist.org/observations/47932670,lhaig,65,,FALSE,Corymbia,47932670,
Corymbia tessellaris,2020-05-31 14:43:18 +1000,,"Hervey Bay - Pt A, AU-QL, AU",-25.24924,152.8063973,,https://www.inaturalist.org/observations/47955818,rejen,NA,,FALSE,Corymbia,47955818,
Corymbia ficifolia,2020-01-11 15:23:42 +0800,,"Jacka Street, Preston, VIC, AU",-37.732375,144.98848,,https://www.inaturalist.org/observations/47966414,alissademewza,6,,FALSE,Corymbia,47966414,
Corymbia tessellaris,2020-06-01 12:42:57 +1000,,"Pacific Pines QLD 4211, Australia",-27.92798837,153.3110809,,https://www.inaturalist.org/observations/48079306,aliciapowell,5,,FALSE,Corymbia,48079306,
Corymbia terminalis,2019-07-06 15:02:00 +0930,,"Cloncurry QLD 4824, Australia",-20.71544333,140.4751233,,https://www.inaturalist.org/observations/48096082,knicolson,NA,,FALSE,Corymbia,48096082,
Corymbia intermedia,2020-06-01 10:31:28 +1000,,"Eungella Dam, QLD, AU",-21.08263163,148.4390177,,https://www.inaturalist.org/observations/48099695,beaniana08,12,,FALSE,Corymbia,48099695,
Corymbia torelliana,2020-06-04 14:54:11 +1000,,"Peony Circuit, Little Mountain, QLD, AU",-26.77462363,153.0893306,,https://www.inaturalist.org/observations/48412808,orlandob,41,,FALSE,Corymbia,48412808,
Corymbia calophylla,2020-06-04 00:00:00 +0000,,"Perth WA, Australia",-32.12282137,116.0319378,,https://www.inaturalist.org/observations/48495850,periplaneta,36,,FALSE,Corymbia,48495850,
Corymbia ficifolia,2020-06-07 15:01:16 +0930,,"Deep Creek Conservation Park, Deep Creek, SA, AU",-35.61832696,138.2606011,,https://www.inaturalist.org/observations/48871564,jaylc,3089,,FALSE,Corymbia,48871564,
